รหัสรถ,ประเภทขนส่ง,รุ่นรถ,ประจำคลังโยกฟลีต,เบอร์รถ,ประเภทรถ
Oil608,Oil,FVM 240,คลัง หนองแค,608,สิบล้อ
Oil609,Oil,FVM 240,คลัง ศรีราชา,609,สิบล้อ
Oil610,Oil,FVM 240,คลัง พิษณุโลก,610,สิบล้อ
Oil611,Oil,FVM 240,คลัง ศรีราชา,611,สิบล้อ
Oil612,Oil,FVM 240,คลัง ศรีราชา,612,สิบล้อ
Oil613,Oil,FVM 240,คลัง นครสวรรค์,613,สิบล้อ
Oil614,Oil,FVM 240,คลัง ศรีราชา,614,สิบล้อ
Oil615,Oil,FVM 240,คลัง ศรีราชา,615,สิบล้อ
Oil616,Oil,FVM 240,คลัง ศรีราชา,616,สิบล้อ
Oil617,Oil,FVM 240,คลัง ศรีราชา,617,สิบล้อ
Oil618,Oil,FVM 240,คลัง ศรีราชา,618,สิบล้อ
Oil619,Oil,FVM 240,รถสำรอง Fleet SR,619,สิบล้อ
Oil620,Oil,FVM 240,คลัง ขอนแก่น,620,สิบล้อ
Oil54,Oil,GXZ 360,คลัง แม่กลอง,54,หัวลาก
Oil58,Oil,GXZ 360,โอนทั่วไป,58,กึ่งพ่วง
Oil60,Oil,GXZ 360,คลัง ศรีราชา,60,หัวลาก
Oil62,Oil,GXZ 360,คลัง นครสวรรค์,62,หัวลาก
